Mouse Model,Tissue,Sex,Age,Phenotype,Units,Value
5xFAD,Hippocampus,Male,4,Insoluble Abeta40,pg/mg,0
5xFAD,Hippocampus,Male,4,Insoluble Abeta40,pg/mg,0
5xFAD,Hippocampus,Male,4,Insoluble Abeta40,pg/mg,0
5xFAD,Hippocampus,Male,4,Insoluble Abeta40,pg/mg,0
5xFAD,Hippocampus,Male,4,Insoluble Abeta40,pg/mg,0
5xFAD,Hippocampus,Male,4,Insoluble Abeta40,pg/mg,0
5xFAD,Hippocampus,Male,8,Insoluble Abeta40,pg/mg,0
5xFAD,Hippocampus,Male,8,Insoluble Abeta40,pg/mg,0
5xFAD,Hippocampus,Male,8,Insoluble Abeta40,pg/mg,0
5xFAD,Hippocampus,Male,8,Insoluble Abeta40,pg/mg,0
5xFAD,Hippocampus,Male,8,Insoluble Abeta40,pg/mg,906572.9904
5xFAD,Hippocampus,Male,8,Insoluble Abeta40,pg/mg,1693861.501
5xFAD,Hippocampus,Male,12,Insoluble Abeta40,pg/mg,0
5xFAD,Hippocampus,Male,12,Insoluble Abeta40,pg/mg,762873.4433
5xFAD,Hippocampus,Male,12,Insoluble Abeta40,pg/mg,994392.6669
5xFAD,Hippocampus,Male,12,Insoluble Abeta40,pg/mg,1097977.47
5xFAD,Hippocampus,Male,12,Insoluble Abeta40,pg/mg,1121772.271
5xFAD,Hippocampus,Male,12,Insoluble Abeta40,pg/mg,1388906.262
5xFAD,Hippocampus,Male,18,Insoluble Abeta40,pg/mg,406032.8448
5xFAD,Hippocampus,Male,18,Insoluble Abeta40,pg/mg,671648.9197
5xFAD,Hippocampus,Male,18,Insoluble Abeta40,pg/mg,1176808.655
5xFAD,Hippocampus,Male,18,Insoluble Abeta40,pg/mg,1300354.142
5xFAD,Hippocampus,Male,18,Insoluble Abeta40,pg/mg,1461490.782
5xFAD,Hippocampus,Male,18,Insoluble Abeta40,pg/mg,1697034.104
5xFAD,Hippocampus,Male,18,Insoluble Abeta40,pg/mg,1854553.864
5xFAD,Hippocampus,Female,4,Insoluble Abeta40,pg/mg,0
5xFAD,Hippocampus,Female,4,Insoluble Abeta40,pg/mg,0
5xFAD,Hippocampus,Female,4,Insoluble Abeta40,pg/mg,56533.48757
5xFAD,Hippocampus,Female,4,Insoluble Abeta40,pg/mg,119531.6857
5xFAD,Hippocampus,Female,4,Insoluble Abeta40,pg/mg,149950.649
5xFAD,Hippocampus,Female,4,Insoluble Abeta40,pg/mg,184852.2615
5xFAD,Hippocampus,Female,8,Insoluble Abeta40,pg/mg,0
5xFAD,Hippocampus,Female,8,Insoluble Abeta40,pg/mg,0
5xFAD,Hippocampus,Female,8,Insoluble Abeta40,pg/mg,564840.0761
5xFAD,Hippocampus,Female,8,Insoluble Abeta40,pg/mg,692815.6598
5xFAD,Hippocampus,Female,8,Insoluble Abeta40,pg/mg,763152.5828
5xFAD,Hippocampus,Female,8,Insoluble Abeta40,pg/mg,875301.675
5xFAD,Hippocampus,Female,8,Insoluble Abeta40,pg/mg,923928.4541
5xFAD,Hippocampus,Female,12,Insoluble Abeta40,pg/mg,1625053.702
5xFAD,Hippocampus,Female,12,Insoluble Abeta40,pg/mg,1693815.669
5xFAD,Hippocampus,Female,12,Insoluble Abeta40,pg/mg,1948263.355
5xFAD,Hippocampus,Female,12,Insoluble Abeta40,pg/mg,2035934.134
5xFAD,Hippocampus,Female,12,Insoluble Abeta40,pg/mg,2066067.262
5xFAD,Hippocampus,Female,12,Insoluble Abeta40,pg/mg,2694092.99
5xFAD,Hippocampus,Female,18,Insoluble Abeta40,pg/mg,996298.9171
5xFAD,Hippocampus,Female,18,Insoluble Abeta40,pg/mg,1332121.848
5xFAD,Hippocampus,Female,18,Insoluble Abeta40,pg/mg,1745131.397
5xFAD,Hippocampus,Female,18,Insoluble Abeta40,pg/mg,2543302.365
5xFAD,Hippocampus,Female,18,Insoluble Abeta40,pg/mg,3415027.279
